"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"  1566 Icarus (1949 MA)",Y,1.0,0.51,2460600.5,0.8270,1.078,22.80,87.95,31.43,160.86,1.97,0.8805,2460417.82,409,Y
"  1620 Geographos (1951 RA)",Y,2.56,0.290,2460600.5,0.3356,1.246,13.34,337.15,277.01,289.36,1.66,0.709,2460700.14,508,Y
"  1862 Apollo (1932 HA)",Y,1.5,0.25,2460600.5,0.5599,1.471,6.35,35.56,286.03,252.87,2.29,0.5527,2460794.35,651,Y
"  1981 Midas (1973 EA)",Y,3.4,,2460600.5,0.6505,1.776,39.82,356.80,267.84,258.81,2.93,0.4163,2460843.56,865,Y
"  2101 Adonis (1936 CA)",Y,0.6,,2460600.5,0.7642,1.874,1.32,349.43,43.69,230.82,3.31,0.3842,2460936.75,937,Y
"  2102 Tantalus (1975 YA)",Y,1.649,0.245,2460600.5,0.2993,1.29,64.00,94.35,61.52,78.27,1.68,0.6726,2460484.14,535,Y
"  2135 Aristaeus (1977 HA)",Y,,,2460600.5,0.5030,1.6,23.07,191.11,290.97,202.31,2.40,0.4871,2460924.20,739,Y
"  2201 Oljato (1947 XC)",Y,1.80,0.4328,2460600.5,0.7107,2.179,2.52,74.87,98.37,334.42,3.73,0.3065,2460683.95,1.17e+03,Y
"  3200 Phaethon (1983 TB)",Y,6.25,0.1066,2460600.5,0.8898,1.271,22.31,265.10,322.31,248.98,2.40,0.6875,2460762.00,524,Y
"  3361 Orpheus (1982 HR)",Y,0.3,0.357,2460600.5,0.3229,1.21,2.66,188.68,302.34,24.54,1.60,0.7401,2460567.34,486,Y
"  3671 Dionysus (1984 KD)",Y,1.5,0.16,2460600.5,0.5420,2.2,13.54,82.05,204.33,131.35,3.39,0.302,2460165.58,1.19e+03,Y
"  3757 Anagolay (1982 XB)",Y,0.5,0.18,2460600.5,0.4459,1.834,3.87,74.93,17.24,293.70,2.65,0.3967,2460767.65,908,Y
"  4015 Wilson-Harrington (1979 VA)",Y,4,0.05,2460600.5,0.6312,2.626,2.80,266.73,95.52,181.75,4.28,0.2317,2461369.95,1.55e+03,Y
"  4034 Vishnu (1986 PA)",Y,0.42,0.52,2460600.5,0.4441,1.06,11.17,157.89,296.70,260.40,1.53,0.9037,2460710.71,398,Y
"  4179 Toutatis (1989 AC)",Y,5.4,0.405,2460600.5,0.6248,2.543,0.45,125.36,277.88,339.68,4.13,0.243,2460684.14,1.48e+03,Y
"  4183 Cuno (1959 LM)",Y,3.651,0.097,2460600.5,0.6361,1.981,6.67,294.35,237.02,175.91,3.24,0.3536,2460102.94,1.02e+03,Y
"  4450 Pan (1987 SY)",Y,,,2460600.5,0.5866,1.443,5.52,311.70,291.94,192.17,2.29,0.5689,2460895.52,633,Y
"  4486 Mithra (1987 SB)",Y,1.849,0.297,2460600.5,0.6620,2.205,3.04,82.18,169.12,156.61,3.67,0.3009,2460080.09,1.2e+03,Y
"  4581 Asclepius (1989 FC)",Y,,,2460600.5,0.3570,1.023,4.92,180.20,255.38,212.12,1.39,0.9531,2460755.66,378,Y
"  4660 Nereus (1982 DB)",Y,0.33,0.55,2460600.5,0.3587,1.485,1.45,313.11,159.54,191.96,2.02,0.5446,2460909.06,661,Y
"  4769 Castalia (1989 PB)",Y,1.4,0.092,2460600.5,0.4832,1.063,8.88,325.51,121.44,324.11,1.58,0.8992,2460640.41,400,Y
"  4953 (1990 MU)",Y,,,2460600.5,0.6574,1.621,24.38,77.53,77.93,285.02,2.69,0.4774,2460757.54,754,Y
"  5011 Ptah (6743 P-L)",Y,,,2460600.5,0.5001,1.636,7.41,10.63,105.94,173.66,2.45,0.471,2460231.78,764,Y
"  5189 (1990 UQ)",Y,,,2460600.5,0.4783,1.552,3.58,135.05,159.95,257.64,2.29,0.51,2460801.21,706,Y
"  5693 (1993 EA)",Y,,,2460600.5,0.5851,1.271,5.06,96.98,258.98,203.14,2.01,0.6882,2460828.42,523,Y
"  6037 (1988 EG)",Y,,,2460600.5,0.4997,1.272,3.51,182.18,242.32,249.72,1.91,0.6874,2460760.94,524,Y
"  6239 Minos (1989 QF)",Y,,,2460600.5,0.4126,1.151,3.94,344.53,239.77,224.50,1.63,0.7982,2460770.27,451,Y
"  6489 Golevka (1991 JX)",Y,0.53,0.151,2460600.5,0.6151,2.484,2.27,209.42,68.66,151.88,4.01,0.2518,2459997.28,1.43e+03,Y
"  7335 (1989 JA)",Y,1.8,0.448,2460600.5,0.4846,1.772,15.17,61.28,232.27,349.17,2.63,0.4178,2460626.41,862,Y
"  7341 (1991 VK)",Y,0.982,0.235,2460600.5,0.5061,1.841,5.41,294.73,173.48,37.89,2.77,0.3944,2460504.43,913,Y
"  7482 (1994 PC1)",Y,1.052,0.277,2460600.5,0.3294,1.349,33.47,117.85,47.49,246.56,1.79,0.6293,2460780.76,572,Y
"  7753 (1988 XB)",Y,,,2460600.5,0.4817,1.467,3.12,73.39,280.08,95.85,2.17,0.5545,2460427.66,649,Y
"  7822 (1991 CS)",Y,1.602,0.075,2460600.5,0.1646,1.123,37.12,156.84,249.45,182.35,1.31,0.8285,2460814.92,435,Y
"  8014 (1990 MF)",Y,0.7,,2460600.5,0.4560,1.747,1.87,209.84,114.73,291.48,2.54,0.4268,2460761.05,844,Y
"  8566 (1996 EN)",Y,1.568,0.217,2460600.5,0.4302,1.506,37.97,164.12,125.13,90.11,2.15,0.5331,2460431.47,675,Y
"  9856 (1991 EE)",Y,1.0,0.3,2460600.5,0.6258,2.242,9.83,168.11,116.18,314.61,3.65,0.2935,2460755.13,1.23e+03,Y
" 10115 (1992 SK)",Y,0.938,0.318,2460600.5,0.3250,1.249,15.32,8.89,233.69,84.54,1.65,0.7065,2460480.83,510,Y
" 11500 Tomaiyowit (1989 UR)",Y,0.738,0.142,2460600.5,0.3558,1.08,10.31,234.39,289.52,323.61,1.46,0.8783,2460641.94,410,Y
" 12538 (1998 OH)",Y,1.663,0.232,2460600.5,0.4058,1.542,24.54,220.69,321.79,317.04,2.17,0.5149,2460683.93,699,Y
" 12923 Zephyr (1999 GK4)",Y,2.060,0.199,2460600.5,0.4918,1.963,5.30,168.17,147.13,51.56,2.93,0.3584,2460456.63,1e+03,Y
" 13651 (1997 BR)",Y,0.562,0.511,2460600.5,0.3057,1.335,17.25,116.63,133.86,262.62,1.74,0.6386,2460752.98,564,Y
" 14827 Hypnos (1986 JK)",Y,0.9,,2460600.5,0.6649,2.841,1.98,57.93,238.19,21.63,4.73,0.2058,2460495.41,1.75e+03,Y
" 16960 (1998 QS52)",Y,,,2460600.5,0.8590,2.201,17.52,260.15,243.25,308.68,4.09,0.3019,2460770.48,1.19e+03,Y
" 20425 (1998 VD35)",Y,,,2460600.5,0.4764,1.565,6.99,227.25,296.32,32.70,2.31,0.5035,2460535.55,715,Y
" 22753 (1998 WT)",Y,,,2460600.5,0.5699,1.219,3.20,307.36,324.80,165.33,1.91,0.7324,2460374.75,492,Y
" 23187 (2000 PN9)",Y,,,2460600.5,0.5893,1.847,51.33,164.29,293.53,167.50,2.94,0.3926,2460173.89,917,Y
" 25143 Itokawa (1998 SF36)",Y,0.33,,2460600.5,0.2803,1.324,1.62,69.08,162.82,142.57,1.70,0.6469,2460380.09,557,Y
" 26663 (2000 XK47)",Y,,,2460600.5,0.4717,1.546,13.53,303.59,231.23,108.78,2.28,0.5127,2460388.33,702,Y
" 27002 (1998 DV9)",Y,,,2460600.5,0.4333,1.744,8.70,130.34,0.82,203.62,2.50,0.428,2460965.86,841,Y
" 29075 (1950 DA)",Y,1.3,0.070,2460600.5,0.5077,1.699,12.16,356.59,224.76,223.31,2.56,0.4451,2460907.61,809,Y
" 31669 (1999 JT6)",Y,,,2460600.5,0.5776,2.137,9.54,78.77,39.10,97.39,3.37,0.3154,2460291.76,1.14e+03,Y
" 35107 (1991 VH)",Y,0.929,0.408,2460600.5,0.1442,1.137,13.91,139.34,206.96,100.55,1.30,0.8126,2460476.76,443,Y
" 35396 (1997 XF11)",Y,0.704,0.772,2460600.5,0.4837,1.442,4.10,213.65,103.04,272.13,2.14,0.5691,2460754.90,633,Y
" 37638 (1993 VB)",Y,,,2460600.5,0.5199,1.913,5.08,145.56,323.20,236.56,2.91,0.3725,2460931.89,966,Y
" 37655 Illapa (1994 PM)",Y,,,2460600.5,0.7525,1.478,18.03,139.52,303.90,254.99,2.59,0.5486,2460791.90,656,Y
" 41429 (2000 GE2)",Y,0.204,0.267,2460600.5,0.5553,1.593,2.17,351.91,297.20,42.91,2.48,0.4903,2460512.99,734,Y
" 52760 (1998 ML14)",Y,1.0,,2460600.5,0.6233,2.409,2.43,338.68,20.37,347.09,3.91,0.2636,2460649.47,1.37e+03,Y
" 52768 (1998 OR2)",Y,1.75,,2460600.5,0.5755,2.38,5.88,26.94,174.59,81.21,3.75,0.2685,2460297.98,1.34e+03,Y
" 53319 (1999 JM8)",Y,7.,,2460600.5,0.6414,2.724,13.84,133.62,166.80,228.77,4.47,0.2193,2461198.95,1.64e+03,Y
" 53426 (1999 SL5)",Y,,,2460600.5,0.5391,1.923,22.77,239.06,43.36,167.90,2.96,0.3696,2460146.17,974,Y
" 53429 (1999 TF5)",Y,,,2460600.5,0.6410,2.022,26.78,199.16,64.09,281.57,3.32,0.3429,2460829.24,1.05e+03,Y
" 53550 (2000 BF19)",Y,,,2460600.5,0.4196,1.495,7.17,313.14,324.95,67.25,2.12,0.539,2460475.74,668,Y
" 53789 (2000 ED104)",Y,0.843,0.222,2460600.5,0.2692,1.371,40.78,190.02,218.35,236.89,1.74,0.6142,2460800.93,586,Y
" 65690 (1991 DG)",Y,,,2460600.5,0.3632,1.428,11.14,180.10,63.37,212.30,1.95,0.5777,2460856.18,623,Y
" 65717 (1993 BX3)",Y,,,2460600.5,0.2810,1.395,2.81,174.75,290.95,104.62,1.79,0.5979,2460425.54,602,Y
" 65803 Didymos (1996 GT)",Y,0.78,,2460600.5,0.3833,1.643,3.41,72.99,319.60,339.93,2.27,0.4682,2460643.37,769,Y
" 65909 (1998 FH12)",Y,,,2460600.5,0.5397,1.091,3.56,108.59,284.51,196.93,1.68,0.8648,2460789.06,416,Y
" 67381 (2000 OL8)",Y,,,2460600.5,0.5430,1.321,10.67,294.84,266.96,38.01,2.04,0.6495,2460541.97,554,Y
" 68216 (2001 CV26)",Y,0.994,0.449,2460600.5,0.3267,1.32,17.99,18.13,48.74,301.79,1.75,0.65,2460690.05,554,Y
" 68346 (2001 KZ66)",Y,0.736,0.291,2460600.5,0.4166,1.507,16.70,219.37,140.29,133.79,2.14,0.5326,2460349.29,676,Y
" 68372 (2001 PM9)",Y,,,2460600.5,0.4160,1.618,8.11,252.96,322.33,157.97,2.29,0.4789,2460270.62,752,Y
" 68548 (2001 XR31)",Y,1.182,0.289,2460600.5,0.4368,1.707,22.72,302.02,24.71,186.50,2.45,0.4419,2460993.10,815,Y
" 68950 (2002 QF15)",Y,1.650,0.178,2460600.5,0.3443,1.057,25.15,236.21,255.57,54.57,1.42,0.9069,2460540.33,397,Y
" 69230 Hermes (1937 UB)",Y,,,2460600.5,0.6239,1.655,6.07,34.05,92.90,279.39,2.69,0.463,2460774.62,778,Y
" 85182 (1991 AQ)",Y,1.1,0.242,2460600.5,0.7777,2.22,3.12,339.40,243.23,59.27,3.95,0.2979,2460401.55,1.21e+03,Y
" 85236 (1993 KH)",Y,,,2460600.5,0.3110,1.234,12.81,54.36,293.82,252.62,1.62,0.7192,2460749.81,501,Y
" 85585 Mjolnir (1998 FG2)",Y,,,2460600.5,0.3563,1.298,4.08,2.31,95.42,37.53,1.76,0.6669,2460544.22,540,Y
" 85640 (1998 OX4)",Y,,,2460600.5,0.4859,1.58,4.52,299.57,117.30,15.27,2.35,0.4961,2460569.73,726,Y
" 85713 (1998 SS49)",Y,3.484,0.076,2460600.5,0.6388,1.923,10.79,40.95,103.13,239.57,3.15,0.3695,2460926.40,974,Y
" 85774 (1998 UT18)",Y,0.939,0.042,2460600.5,0.3288,1.403,13.59,64.62,50.15,178.64,1.86,0.5932,2460299.33,607,Y
" 85938 (1999 DJ4)",Y,,,2460600.5,0.4846,1.853,9.14,19.87,197.79,41.94,2.75,0.3909,2460493.20,921,Y
" 85990 (1999 JV6)",Y,0.451,0.095,2460600.5,0.3111,1.008,5.36,124.30,235.57,312.19,1.32,0.9733,2460649.62,370,Y
" 86039 (1999 NC43)",Y,2.22,0.14,2460600.5,0.5789,1.76,7.13,311.62,120.81,217.35,2.78,0.4221,2460938.41,853,Y
" 86819 (2000 GK137)",Y,0.802,0.301,2460600.5,0.5059,1.995,10.06,164.88,150.30,212.48,3.00,0.3497,2461022.39,1.03e+03,Y
" 88254 (2001 FM129)",Y,0.800,0.252,2460600.5,0.6296,1.182,1.52,272.11,140.23,166.57,1.93,0.7666,2460383.21,470,Y
" 88959 (2001 TZ44)",Y,,,2460600.5,0.5635,1.724,53.83,38.96,114.92,18.09,2.69,0.4356,2460558.97,827,Y
" 89136 (2001 US16)",Y,,,2460600.5,0.2530,1.356,1.91,175.90,67.20,332.59,1.70,0.6243,2460644.41,577,Y
" 89958 (2002 LY45)",Y,,,2460600.5,0.8864,1.642,9.91,188.16,222.94,186.10,3.10,0.4685,2460971.69,768,Y
" 89959 (2002 NT7)",Y,1.407,0.224,2460600.5,0.5284,1.735,42.36,132.00,300.71,206.61,2.65,0.4311,2460956.30,835,Y
" 90075 (2002 VU94)",Y,2.233,0.294,2460600.5,0.5755,2.136,8.91,226.73,30.77,128.37,3.37,0.3156,2460193.82,1.14e+03,Y
" 90403 (2003 YE45)",Y,0.572,0.493,2460600.5,0.2802,1.234,19.01,286.23,306.85,341.08,1.58,0.7186,2460626.83,501,Y
" 90416 (2003 YK118)",Y,0.968,0.062,2460600.5,0.4924,1.695,7.83,326.76,233.29,117.11,2.53,0.4467,2460338.35,806,Y
" 99248 (2001 KY66)",Y,1.115,0.429,2460600.5,0.5073,1.867,10.61,284.11,61.58,359.76,2.81,0.3864,2460601.13,932,Y
"100085 (1992 UY4)",Y,,,2460600.5,0.6190,2.651,2.64,305.18,42.24,158.29,4.29,0.2284,2459907.42,1.58e+03,Y
"101869 (1999 MM)",Y,,,2460600.5,0.6109,1.624,4.77,110.92,268.84,52.69,2.62,0.4762,2460489.86,756,Y
"101955 Bennu (1999 RQ36)",Y,0.482,0.044,2455562.5,0.2037,1.126,6.03,2.06,66.22,101.70,1.36,0.8245,2455439.14,437,Y
"103067 (1999 XA143)",Y,1.282,0.246,2460600.5,0.5812,1.844,38.56,116.52,104.10,289.32,2.92,0.3937,2460780.05,914,Y
"111253 (2001 XU10)",Y,3.006,0.178,2460600.5,0.4394,1.754,42.02,310.15,6.97,62.23,2.52,0.4244,2460453.86,848,Y
"136617 (1994 CC)",Y,,,2460600.5,0.4169,1.638,4.68,268.51,24.92,103.64,2.32,0.4701,2460380.02,766,Y
"136618 (1994 CN2)",Y,,,2460600.5,0.3948,1.573,1.44,99.34,248.28,340.11,2.19,0.4996,2460640.31,721,Y
"136795 Tatsunokingo (1997 BQ)",Y,,,2460600.5,0.4780,1.747,10.99,50.13,147.57,340.73,2.58,0.4268,2460645.64,843,Y
"136849 (1998 CS1)",Y,,,2460600.5,0.5785,1.492,7.79,110.68,97.80,204.65,2.35,0.5411,2460887.62,665,Y
"137108 (1999 AN10)",Y,,,2460600.5,0.5621,1.459,39.93,314.34,268.33,177.03,2.28,0.5595,2460284.10,643,Y
"137120 (1999 BJ8)",Y,,,2460600.5,0.5490,1.901,8.97,339.46,222.00,272.88,2.94,0.3761,2460832.15,957,Y
"137126 (1999 CF9)",Y,,,2460600.5,0.6012,1.772,5.55,156.87,90.54,280.89,2.84,0.4177,2460789.91,862,Y
"137427 (1999 TF211)",Y,,,2460600.5,0.6116,2.44,39.49,347.91,162.38,132.56,3.93,0.2586,2460087.92,1.39e+03,Y
"138175 (2000 EE104)",Y,,,2460600.5,0.2932,1.004,5.24,25.50,280.87,52.66,1.30,0.9798,2460546.75,367,Y
"138404 (2000 HA24)",Y,,,2460600.5,0.3186,1.139,2.16,309.35,142.20,139.80,1.50,0.8111,2460428.14,444,Y
"138727 (2000 SU180)",Y,,,2460600.5,0.6052,2.105,11.92,327.89,136.32,289.27,3.38,0.3228,2460819.64,1.12e+03,Y
"138971 (2001 CB21)",Y,,,2460600.5,0.3334,1.034,7.92,353.67,271.93,115.89,1.38,0.9378,2460476.93,384,Y
"139359 (2001 ME1)",Y,,,2460600.5,0.8700,2.634,5.96,84.57,302.40,138.82,4.93,0.2306,2459998.38,1.56e+03,Y
"139622 (2001 QQ142)",Y,,,2460600.5,0.3101,1.421,9.34,83.16,337.95,190.84,1.86,0.5821,2460891.11,618,Y
"140039 (2001 SO73)",Y,,,2460600.5,0.5679,1.821,4.85,197.14,31.03,222.91,2.86,0.401,2460942.37,898,Y
"140158 (2001 SX169)",Y,0.566,0.289,2460600.5,0.4608,1.347,2.52,126.78,42.73,94.39,1.97,0.6302,2460450.73,571,Y
"140288 (2001 SN289)",Y,1.263,0.231,2460600.5,0.5082,1.784,53.19,357.06,225.64,344.42,2.69,0.4135,2460638.18,871,Y
"141053 (2001 XT1)",Y,,,2460600.5,0.5795,1.528,2.73,316.21,31.39,67.95,2.41,0.5216,2460470.23,690,Y
"141495 (2002 EZ11)",Y,,,2460600.5,0.8021,1.114,2.35,51.88,317.78,194.78,2.01,0.8382,2460797.60,429,Y
"141525 (2002 FV5)",Y,,,2460600.5,0.7245,1.087,34.04,38.84,308.11,251.11,1.87,0.8697,2460725.70,414,Y
"141527 (2002 FG7)",Y,,,2460600.5,0.6268,1.513,9.20,187.48,247.69,82.57,2.46,0.5295,2460444.55,680,Y
"141593 (2002 HK12)",Y,,,2460600.5,0.5287,2.002,2.35,306.98,2.25,301.23,3.06,0.348,2460769.37,1.03e+03,Y
"141614 (2002 JV15)",Y,,,2460600.5,0.5361,1.624,7.19,200.62,127.39,269.02,2.49,0.4763,2460791.50,756,Y
"141851 (2002 PM6)",Y,,,2460600.5,0.8501,1.198,19.13,304.00,224.53,11.09,2.22,0.7517,2460585.74,479,Y
"143404 (2003 BD44)",Y,,,2460600.5,0.6075,1.968,2.66,181.18,89.36,242.26,3.16,0.3571,2460930.23,1.01e+03,Y
"143487 (2003 CR20)",Y,,,2460600.5,0.7301,2.124,4.99,177.06,88.83,329.95,3.67,0.3184,2460694.89,1.13e+03,Y
"143624 (2003 HM16)",Y,2.137,0.169,2460600.5,0.5773,1.967,35.54,195.84,47.18,262.55,3.10,0.3573,2460873.24,1.01e+03,Y
"143649 (2003 QQ47)",Y,,,2460600.5,0.1870,1.085,62.10,0.99,104.96,174.10,1.29,0.8717,2460400.77,413,Y
"143651 (2003 QO104)",Y,,,2460600.5,0.5262,2.133,11.62,58.17,183.60,335.50,3.26,0.3163,2460677.96,1.14e+03,Y
"143992 (2004 AF)",Y,,,2460600.5,0.5538,1.971,27.13,315.62,57.98,205.38,3.06,0.3562,2461034.62,1.01e+03,Y
"144332 (2004 DV24)",Y,,,2460600.5,0.2898,1.423,55.89,171.13,186.41,206.42,1.84,0.5806,2460865.00,620,Y
"144898 (2004 VD17)",Y,,,2460600.5,0.5886,1.508,4.22,223.98,90.98,306.24,2.40,0.5323,2460701.51,676,Y
"152560 (1991 BN)",Y,,,2460600.5,0.3979,1.443,3.45,268.81,80.99,256.49,2.02,0.5683,2460782.62,633,Y
"152561 (1991 RB)",Y,,,2460600.5,0.4857,1.454,19.58,359.29,68.96,279.78,2.16,0.5619,2460743.26,641,Y
"152664 (1998 FW4)",Y,,,2460600.5,0.7143,2.525,3.42,353.60,85.47,264.00,4.33,0.2456,2460991.32,1.47e+03,Y
"152671 (1998 HL3)",Y,0.298,0.200,2460600.5,0.3659,1.129,2.68,163.64,188.16,286.27,1.54,0.8216,2460690.24,438,Y
"152680 (1998 KJ9)",Y,,,2460600.5,0.6396,1.448,10.93,98.54,260.12,16.67,2.37,0.5658,2460571.04,636,Y
"152685 (1998 MZ)",Y,,,2460600.5,0.5729,1.346,0.15,122.28,39.24,349.07,2.12,0.631,2460617.83,571,Y
"152754 (1999 GS6)",Y,0.414,0.216,2460600.5,0.4974,1.191,2.02,314.42,134.97,283.40,1.78,0.7582,2460701.53,475,Y
"152770 (1999 RR28)",Y,,,2460600.5,0.6542,1.879,7.14,178.16,284.58,231.90,3.11,0.3828,2460935.14,940,Y
"152828 (1999 VT25)",Y,,,2460600.5,0.5231,1.162,5.15,221.94,319.24,253.70,1.77,0.7867,2460735.62,458,Y
"152978 (2000 GJ147)",Y,0.531,0.109,2460600.5,0.2367,1.162,25.01,57.85,240.80,134.02,1.44,0.7866,2460430.11,458,Y
"153002 (2000 JG5)",Y,,,2460600.5,0.7961,1.341,31.43,213.04,233.45,307.51,2.41,0.635,2460683.17,567,Y
"153220 (2000 YN29)",Y,,,2460600.5,0.6683,2.542,6.23,64.22,142.59,288.37,4.24,0.2431,2460895.10,1.48e+03,Y
"153311 (2001 MG1)",Y,,,2460600.5,0.6459,2.502,28.40,142.33,218.52,304.13,4.12,0.2491,2460824.77,1.45e+03,Y
"153814 (2001 WN5)",Y,0.932,0.097,2460600.5,0.4670,1.712,1.92,277.35,44.67,110.47,2.51,0.4401,2460349.48,818,Y
"153958 (2002 AM31)",Y,,,2460600.5,0.4515,1.703,4.64,144.37,197.96,166.89,2.47,0.4435,2460224.17,812,Y
"154019 (2002 CZ9)",Y,,,2460600.5,0.3601,1.325,4.97,142.84,80.88,264.53,1.80,0.6459,2460748.30,557,Y
"154269 (2002 SM)",Y,,,2460600.5,0.4865,1.872,14.40,10.78,217.51,300.04,2.78,0.3849,2460756.29,935,Y
"154275 (2002 SR41)",Y,,,2460600.5,0.4907,1.084,11.58,247.77,258.20,119.73,1.62,0.8737,2460463.47,412,Y
"154276 (2002 SY50)",Y,1.060,0.143,2460600.5,0.6888,1.704,8.75,34.03,99.68,288.08,2.88,0.4429,2460762.88,813,Y
"154302 (2002 UQ3)",Y,,,2460600.5,0.5615,1.72,28.83,222.70,280.97,230.42,2.69,0.4371,2460896.95,824,Y
"154330 (2002 VX94)",Y,,,2460600.5,0.4086,1.477,7.16,320.06,215.23,353.41,2.08,0.5493,2460612.50,655,Y
"154590 (2003 MA3)",Y,0.086,0.530,2460600.5,0.4022,1.105,1.42,152.67,228.88,56.99,1.55,0.8484,2460533.33,424,Y
"155338 (2006 MZ1)",Y,,,2460600.5,0.4826,1.569,2.08,226.58,138.70,81.14,2.33,0.5014,2460438.66,718,Y
"159504 (2000 WO67)",Y,2.324,0.052,2460600.5,0.6172,2.433,9.69,107.57,237.82,138.95,3.93,0.2597,2460065.47,1.39e+03,Y
"159857 (2004 LJ1)",Y,3.070,0.130,2460600.5,0.5935,2.263,23.15,235.54,140.02,319.37,3.61,0.2895,2460740.84,1.24e+03,Y
"161989 Cacus (1978 CA)",Y,1.9,0.09,2460600.5,0.2139,1.123,26.06,161.21,102.09,338.81,1.36,0.8285,2460626.08,435,Y
"162000 (1990 OS)",Y,0.4,,2460600.5,0.4624,1.678,1.09,346.51,21.59,239.67,2.45,0.4532,2460865.99,794,Y
"162039 (1996 JG)",Y,,,2460600.5,0.6604,1.802,5.28,52.83,280.26,246.30,2.99,0.4076,2460879.45,883,Y
"162082 (1998 HL1)",Y,,,2460600.5,0.1870,1.246,20.05,213.53,148.66,228.22,1.48,0.7084,2460786.53,508,Y
"162116 (1998 SA15)",Y,0.538,0.116,2460600.5,0.5585,1.916,7.11,114.17,331.44,267.66,2.99,0.3717,2460848.93,969,Y
"162120 (1998 SH36)",Y,,,2460600.5,0.5709,1.088,2.13,217.82,278.85,279.53,1.71,0.8687,2460693.13,414,Y
"162162 (1999 DB7)",Y,,,2460600.5,0.1949,1.206,10.84,157.59,29.93,110.33,1.44,0.7444,2460452.28,484,Y
"162173 Ryugu (1999 JU3)",Y,0.896,0.045,2460600.5,0.1911,1.191,5.87,251.29,211.61,327.33,1.42,0.7583,2460643.59,475,Y
"162183 (1999 NB5)",Y,,,2460600.5,0.5351,2.072,1.43,235.31,123.19,143.03,3.18,0.3304,2460167.54,1.09e+03,Y
"162210 (1999 SM5)",Y,,,2460600.5,0.6950,2.306,5.19,327.62,319.31,82.39,3.91,0.2815,2460307.76,1.28e+03,Y
"162416 (2000 EH26)",Y,,,2460600.5,0.4780,1.855,0.40,215.25,19.22,243.90,2.74,0.3902,2460898.06,923,Y
"162422 (2000 EV70)",Y,,,2460600.5,0.5311,1.207,1.40,108.93,314.50,240.88,1.85,0.7431,2460760.80,484,Y
"162474 (2000 LB16)",Y,,,2460600.5,0.3574,1.241,50.71,80.85,285.25,163.39,1.68,0.7132,2460371.42,505,Y
"162510 (2000 QW69)",Y,1.406,0.089,2460600.5,0.3023,1.376,38.14,344.33,220.73,91.40,1.79,0.6105,2460450.80,590,Y
"162567 (2000 RW37)",Y,0.335,0.173,2460600.5,0.2501,1.247,13.75,333.29,133.29,12.21,1.56,0.7075,2460583.24,509,Y
"162687 (2000 UH1)",Y,,,2460600.5,0.5436,1.875,14.77,76.13,40.97,92.72,2.89,0.3838,2460358.89,938,Y
"162695 (2000 UL11)",Y,,,2460600.5,0.6354,2.122,2.19,333.18,152.12,246.49,3.47,0.3187,2460956.61,1.13e+03,Y
"162783 (2000 YJ11)",Y,,,2460600.5,0.2323,1.314,7.26,64.92,339.16,327.02,1.62,0.6546,2460650.89,550,Y
"162825 (2001 BO61)",Y,,,2460600.5,0.7444,1.773,9.07,159.52,79.16,338.79,3.09,0.4174,2460651.32,862,Y
"162882 (2001 FD58)",Y,,,2460600.5,0.5752,1.092,6.50,341.15,46.02,348.46,1.72,0.8633,2460613.87,417,Y
"162922 (2001 OY13)",Y,,,2460600.5,0.3820,1.319,10.30,284.18,291.31,174.17,1.82,0.651,2460332.95,553,Y
"162979 (2001 RA12)",Y,,,2460600.5,0.5441,2.037,17.09,311.58,326.05,359.93,3.14,0.3391,2460600.70,1.06e+03,Y
"162998 (2001 SK162)",Y,0.875,0.161,2460600.5,0.4743,1.926,1.68,285.29,186.45,181.51,2.84,0.3687,2461084.55,976,Y
"163014 (2001 UA5)",Y,,,2460600.5,0.4456,1.787,9.94,58.62,27.68,207.87,2.58,0.4125,2460969.33,873,Y
"163026 (2001 XR30)",Y,,,2460600.5,0.3652,1.297,11.86,247.85,294.50,106.07,1.77,0.6672,2460441.51,540,Y
"163051 (2001 YJ4)",Y,,,2460600.5,0.5676,2.274,9.29,247.77,322.44,208.69,3.57,0.2874,2461127.02,1.25e+03,Y
"163067 (2002 AP3)",Y,,,2460600.5,0.5862,2.046,7.61,87.30,117.82,254.83,3.25,0.3368,2460912.79,1.07e+03,Y
"163132 (2002 CU11)",Y,0.460,0.408,2460600.5,0.2952,1.22,48.78,157.74,110.53,229.17,1.58,0.7317,2460779.31,492,Y
"163249 (2002 GT)",Y,,,2460600.5,0.3347,1.344,6.97,201.73,135.14,59.89,1.79,0.6323,2460505.77,569,Y
"163364 (2002 OD20)",Y,,,2460600.5,0.3689,1.365,4.19,259.85,275.35,84.09,1.87,0.6179,2460464.41,583,Y
"163373 (2002 PZ39)",Y,,,2460600.5,0.5465,1.469,1.67,328.77,260.13,196.11,2.27,0.5534,2460896.65,651,Y
"163683 (2002 YP2)",Y,,,2460600.5,0.6881,1.577,20.63,52.46,281.41,31.53,2.66,0.4976,2460537.13,724,Y
"163697 (2003 EF54)",Y,,,2460600.5,0.4728,1.609,2.95,268.45,353.79,176.37,2.37,0.4827,2460235.12,746,Y
"163818 (2003 RX7)",Y,0.386,0.516,2460600.5,0.3545,1.229,10.39,241.01,245.91,68.68,1.67,0.723,2460505.51,498,Y
