"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2002 TB70)",Y,,,2460600.5,0.1317,1.133,16.66,195.02,350.89,287.99,1.28,0.8174,2460688.60,440,Y
"       (2002 VR85)",Y,,,2460600.5,0.6039,1.814,6.03,204.44,299.31,318.24,2.91,0.4034,2460704.02,892,Y
"       (2002 XO14)",Y,,,2460600.5,0.6474,2.784,2.62,295.31,184.89,244.06,4.59,0.2122,2461146.86,1.7e+03,Y
"       (2003 AY2)",Y,,,2460600.5,0.5633,1.824,10.33,274.87,286.10,279.51,2.85,0.4002,2460801.62,900,Y
"       (2003 AC23)",Y,,,2460600.5,0.5818,2.171,2.06,43.75,126.42,276.48,3.43,0.3081,2460871.56,1.17e+03,Y
"       (2003 BB21)",Y,,,2460600.5,0.5540,2.229,4.77,344.12,212.78,169.33,3.46,0.2962,2460028.81,1.22e+03,Y
"       (2003 BR47)",Y,,,2460600.5,0.5003,1.628,4.42,314.41,112.71,181.94,2.44,0.4743,2460975.90,759,Y
"       (2003 CG11)",Y,,,2460600.5,0.7347,2.592,21.28,130.43,107.16,57.94,4.50,0.2362,2460355.17,1.52e+03,Y
"       (2003 EG16)",Y,,,2460600.5,0.6897,2.391,20.40,151.22,110.67,280.48,4.04,0.2667,2460898.71,1.35e+03,Y
"       (2003 GG21)",Y,,,2460600.5,0.7120,2.139,10.16,11.07,97.34,328.73,3.66,0.315,2460699.77,1.14e+03,Y
"       (2003 GR22)",Y,,,2460600.5,0.6084,1.545,6.17,23.42,276.83,46.73,2.49,0.5131,2460509.43,702,Y
"       (2003 GP51)",Y,,,2452751.5,0.6022,2.152,2.86,141.89,357.51,17.68,3.45,0.3123,2452694.88,1.15e+03,Y
"       (2003 MS2)",Y,,,2460600.5,0.1263,1.042,20.03,100.82,254.51,307.12,1.17,0.9264,2460657.59,389,Y
"       (2003 MK4)",Y,,,2460600.5,0.1813,1.081,22.32,282.58,109.71,258.47,1.28,0.8774,2460716.22,410,Y
"       (2003 OC3)",Y,,,2460600.5,0.5974,2.25,13.13,172.34,23.01,124.74,3.59,0.292,2460173.34,1.23e+03,Y
"       (2003 RS1)",Y,,,2460600.5,0.6415,2.775,2.66,172.35,164.15,187.31,4.56,0.2132,2461410.41,1.69e+03,Y
"       (2003 RB5)",Y,,,2452889.5,0.4716,1.884,44.62,341.93,27.59,352.17,2.77,0.381,2452910.05,945,Y
